card_name,route_id,on_area_name,on_lon,on_lat,on_dong,on_hour,on_minute,on_second,off_area_name,off_lon,off_lat,off_dong,off_hour,off_minute,off_second,no_transfer,total_distance,total_duration,카드번호,노선ID,승차일시
++/2SXEIGG51APpoYQhtiLMn2e1d5zZjYSZOpFgutbY=,지하철,여의도역,126.92475800000001,37.522027,1119054,18,22,42,우장산역,126.83630900000001,37.548738,1116067,18,53,46,0,10100,1864,++/2SXEIGG51APpoYQhtiLMn2e1d5zZjYSZOpFgutbY=,,20171019182242.0
++/3NAGPAsraH3w4Jfr30hnwICmAk2F/bmY9wtVAwiA=,버스,석수역,126.902775,37.434857,3104161,8,41,58,안양대교,126.91114499999999,37.4109,3104161,8,48,25,0,2855,387,++/3NAGPAsraH3w4Jfr30hnwICmAk2F/bmY9wtVAwiA=,41110050.0,20171019084158.0
++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,버스,갈월동,126.97171200000001,37.549578000000004,1103053,13,6,15,용문시장,126.961327,37.536057,1103072,13,14,26,0,2173,491,++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,11110171.0,20171019130615.0
++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,버스,남정초등학교,126.96365800000001,37.536378000000006,1103072,14,49,17,KT광화문지사,126.977378,37.57241,1101061,15,12,48,0,4541,1411,++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,41110070.0,20171019144917.0
++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,버스,세종문화회관,126.97656299999998,37.572702,1101061,15,46,16,갈월동,126.97171200000001,37.549578000000004,1103053,16,0,24,0,2675,848,++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,11110171.0,20171019154616.0
++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,버스,갑을빌딩,126.972003,37.549125,1103053,16,2,36,후암시장,126.976808,37.550118,1103051,16,4,46,1,550,130,++/4APEd8MUfetx1mbN73D49GSPadi8mIuEkaRKusig=,11110710.0,20171019160236.0
++/BIGd0fW3QMGjWCZYVTJ0rlAuXkHyGqrMU9hMnjCI=,지하철,서울대입구역,126.952685,37.48125,1121061,12,48,28,청담역,127.053723,37.519447,1123078,13,31,57,0,11800,2609,++/BIGd0fW3QMGjWCZYVTJ0rlAuXkHyGqrMU9hMnjCI=,,20171019124828.0
++/BIGd0fW3QMGjWCZYVTJ0rlAuXkHyGqrMU9hMnjCI=,지하철,청담역,127.053723,37.519447,1123078,15,18,3,남부터미널역,127.01616000000001,37.485199,1122053,15,44,11,0,6600,1568,++/BIGd0fW3QMGjWCZYVTJ0rlAuXkHyGqrMU9hMnjCI=,,20171019151803.0
++/BKm2p3AwMlchsHfnQgFs6JRToIm5A9GDZYxtC6K4=,지하철,녹번역,126.935819,37.6008,1112051,8,28,25,수서역,127.10231399999999,37.487534000000004,1123075,9,26,0,0,25100,3455,++/BKm2p3AwMlchsHfnQgFs6JRToIm5A9GDZYxtC6K4=,,20171019082825.0
++/F6rCbeVMyNw4WXsTUYLqcoFpMNz5YCPS742g4Btk=,버스,철산교앞,126.85938999999999,37.4881,1117065,7,38,55,개봉역.림괄아파트,126.858727,37.493767999999996,1117064,7,42,4,0,765,189,++/F6rCbeVMyNw4WXsTUYLqcoFpMNz5YCPS742g4Btk=,11110556.0,20171019073855.0
++/KLwmqY8LPmWMnMDJbleYSEri8smHLYpsAlMWRNUg=,버스,경인교육대학교,126.915168,37.432333,3104160,7,57,10,삼성산주공아파트,126.925068,37.461090000000006,1121082,8,6,29,2,3707,559,++/KLwmqY8LPmWMnMDJbleYSEri8smHLYpsAlMWRNUg=,11410004.0,20171019075710.0
++/KLwmqY8LPmWMnMDJbleYSEri8smHLYpsAlMWRNUg=,버스,삼성산주공정문,126.92628799999999,37.46118,1121082,8,10,54,삼성산주공307동앞,126.927325,37.461788,1121082,8,11,56,3,116,62,++/KLwmqY8LPmWMnMDJbleYSEri8smHLYpsAlMWRNUg=,11110543.0,20171019081054.0
++/KLwmqY8LPmWMnMDJbleYSEri8smHLYpsAlMWRNUg=,버스,201동.동신교회,126.925877,37.464259999999996,1121082,16,47,3,삼성산주공307동앞,126.92731299999998,37.461877,1121082,16,49,23,0,406,140,++/KLwmqY8LPmWMnMDJbleYSEri8smHLYpsAlMWRNUg=,11110543.0,20171019164703.0
